Please Do not add/delete columns or amend their name.
Entity,Attribute,Global Name,Value,Label-English,Label-French,Description-English,Description-French
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,0,1.1A,1.1A,1.1A,1.1A
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,1,1.1B,1.1B,1.1B,1.1B
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,2,1.1C,1.1C,1.1C,1.1C
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,3,1.1D,1.1D,1.1D,1.1D
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,4,1.1E,1.1E,1.1E,1.1E
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,5,1.1F,1.1F,1.1F,1.1F
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,6,1.1G,1.1G,1.1G,1.1G
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,7,1.1J,1.1J,1.1J,1.1J
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,8,1.1L,1.1L,1.1L,1.1L
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,9,1.2B,1.2B,1.2B,1.2B
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,10,1.2C,1.2C,1.2C,1.2C
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,11,1.2D,1.2D,1.2D,1.2D
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,12,1.2E,1.2E,1.2E,1.2E
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,13,1.2F,1.2F,1.2F,1.2F
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,14,1.2G,1.2G,1.2G,1.2G
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,15,1.2H,1.2H,1.2H,1.2H
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,16,1.2J,1.2J,1.2J,1.2J
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,17,1.2K,1.2K,1.2K,1.2K
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,18,1.2L,1.2L,1.2L,1.2L
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,19,1.3C,1.3C,1.3C,1.3C
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,20,1.3G,1.3G,1.3G,1.3G
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,21,1.3H,1.3H,1.3H,1.3H
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,22,1.3J,1.3J,1.3J,1.3J
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,23,1.3K,1.3K,1.3K,1.3K
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,24,1.3L,1.3L,1.3L,1.3L
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,25,1.4B,1.4B,1.4B,1.4B
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,26,1.4C,1.4C,1.4C,1.4C
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,27,1.4D,1.4D,1.4D,1.4D
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,28,1.4E,1.4E,1.4E,1.4E
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,29,1.4F,1.4F,1.4F,1.4F
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,30,1.4G,1.4G,1.4G,1.4G
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,31,1.4S,1.4S,1.4S,1.4S
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,32,1.5D,1.5D,1.5D,1.5D
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,33,1.6N,1.6N,1.6N,1.6N
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,34,2.1,2.1,2.1,2.1
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,35,2.2,2.2,2.2,2.2
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,36,2.3,2.3,2.3,2.3
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,37,3,3,3,3
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,38,4.1,4.1,4.1,4.1
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,39,4.2,4.2,4.2,4.2
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,40,4.3,4.3,4.3,4.3
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,41,5.1,5.1,5.1,5.1
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,42,5.2,5.2,5.2,5.2
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,43,6.1,6.1,6.1,6.1
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,44,6.2,6.2,6.2,6.2
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,45,7,7,7,7
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,46,8,8,8,8
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,47,9,9,9,9
tdg_unnumber,tdg_primaryclasscd,tdg_primaryclass,48,Forbidden,Forbidden,Forbidden,Forbidden
tdg_unnumber,tdg_packinggroupcd,tdg_packinggroup,0,Category A,Category A,Category A,Category A
tdg_unnumber,tdg_packinggroupcd,tdg_packinggroup,1,Category B,Category B,Category B,Category B
tdg_unnumber,tdg_packinggroupcd,tdg_packinggroup,2,I,I,I,I
tdg_unnumber,tdg_packinggroupcd,tdg_packinggroup,3,II,II,II,II
tdg_unnumber,tdg_packinggroupcd,tdg_packinggroup,4,III,III,III,III
tdg_unnumber,tdg_specialprovisionscd,tdg_specialprovisions,128,99,99,99,99
tdg_unnumber,tdg_specialprovisionscd,tdg_specialprovisions,25,123,123,123,123
tdg_unnumber,tdg_specialprovisionscd,tdg_specialprovisions,129,L,L,L,L
tdg_unnumber,tdg_specialprovisionscd,tdg_specialprovisions,27,125,125,125,125
tdg_unnumber,tdg_specialprovisionscd,tdg_specialprovisions,28,126,126,126,126
tdg_unnumber,tdg_specialprovisionscd,tdg_specialprovisions,30,128,128,128,128
tdg_unnumber,tdg_specialprovisionscd,tdg_specialprovisions,32,131,131,131,131
tdg_unnumber,tdg_specialprovisionscd,tdg_specialprovisions,34,133,133,133,133
tdg_unnumber,tdg_specialprovisionscd,tdg_specialprovisions,35,134,134,134,134
tdg_unnumber,tdg_specialprovisionscd,tdg_specialprovisions,36,135,135,135,135
tdg_unnumber,tdg_specialprovisionscd,tdg_specialprovisions,37,136,136,136,136
tdg_unnumber,tdg_specialprovisionscd,tdg_specialprovisions,38,137,137,137,137
tdg_unnumber,tdg_specialprovisionscd,tdg_specialprovisions,40,139,139,139,139
tdg_unnumber,tdg_specialprovisionscd,tdg_specialprovisions,41,140,140,140,140
tdg_unnumber,tdg_specialprovisionscd,tdg_specialprovisions,44,143,143,143,143
tdg_unnumber,tdg_specialprovisionscd,tdg_specialprovisions,46,145,145,145,145
tdg_unnumber,tdg_specialprovisionscd,tdg_specialprovisions,48,147,147,147,147
tdg_unnumber,tdg_specialprovisionscd,tdg_specialprovisions,50,149,149,149,149
tdg_unnumber,tdg_specialprovisionscd,tdg_specialprovisions,53,153,153,153,153
tdg_unnumber,tdg_specialprovisionscd,tdg_specialprovisions,56,156,156,156,156
tdg_unnumber,tdg_specialprovisionscd,tdg_specialprovisions,58,158,158,158,158
tdg_unnumber,tdg_specialprovisionscd,tdg_specialprovisions,62,161,161,161,161
tdg_unnumber,tdg_specialprovisionscd,tdg_specialprovisions,67,166,166,166,166
tdg_unnumber,tdg_specialprovisionscd,tdg_specialprovisions,70,17,17,17,17
tdg_unnumber,tdg_specialprovisionscd,tdg_specialprovisions,72,19,19,19,19
tdg_unnumber,tdg_specialprovisionscd,tdg_specialprovisions,74,23,23,23,23
tdg_unnumber,tdg_specialprovisionscd,tdg_specialprovisions,77,28,28,28,28
tdg_unnumber,tdg_specialprovisionscd,tdg_specialprovisions,79,32,32,32,32
tdg_unnumber,tdg_specialprovisionscd,tdg_specialprovisions,81,34,34,34,34
tdg_unnumber,tdg_specialprovisionscd,tdg_specialprovisions,84,38,38,38,38
tdg_unnumber,tdg_specialprovisionscd,tdg_specialprovisions,86,4,4,4,4
tdg_unnumber,tdg_specialprovisionscd,tdg_specialprovisions,88,41,41,41,41
tdg_unnumber,tdg_specialprovisionscd,tdg_specialprovisions,92,55,55,55,55
tdg_unnumber,tdg_specialprovisionscd,tdg_specialprovisions,94,57,57,57,57
tdg_unnumber,tdg_specialprovisionscd,tdg_specialprovisions,96,59,59,59,59
tdg_unnumber,tdg_specialprovisionscd,tdg_specialprovisions,98,62,62,62,62
tdg_unnumber,tdg_specialprovisionscd,tdg_specialprovisions,101,65,65,65,65
